listing_id,date
107051,2023-08-08
107051,2023-08-11
107051,2023-08-16
107051,2023-08-28
107051,2023-08-31
107051,2023-09-03
107051,2023-09-06
107051,2023-09-08
107051,2023-09-10
107051,2023-09-16
107051,2023-09-21
107051,2023-09-25
107051,2023-09-29
107051,2023-10-01
107051,2023-10-13
107051,2023-10-15
107051,2023-10-17
107051,2023-10-22
107051,2023-10-27
107051,2023-10-30
107051,2023-11-07
107051,2023-11-12
107051,2023-11-14
107051,2023-11-17
107051,2023-11-20
107051,2023-11-26
107051,2023-11-29
107051,2023-12-04
107051,2023-12-08
107051,2023-12-10
107051,2023-12-17
107051,2023-12-21
107051,2024-01-02
107051,2024-01-04
107051,2024-01-06
107051,2024-01-14
107051,2024-01-26
107051,2024-02-13
107051,2024-02-15
107051,2024-02-21
107051,2024-03-03
107051,2024-03-14
107051,2024-04-04
107051,2024-04-06
107051,2024-04-12
107051,2024-04-14
107051,2024-04-19
107051,2024-04-22
107051,2024-04-30
107051,2024-05-12
107051,2024-05-20
107051,2024-05-23
107051,2024-05-25
107051,2024-05-28
107051,2024-05-31
107051,2024-06-10
107051,2024-06-13
107051,2024-06-22
107051,2024-06-24
107051,2024-06-30
107051,2024-07-03
107051,2024-07-05
107051,2024-07-08
107051,2024-07-12
107051,2024-07-17
107051,2024-07-23
107051,2024-07-26
107051,2024-07-29
107051,2024-08-03
107051,2024-08-05
107051,2024-08-08
107051,2024-08-13
107051,2024-08-16
107051,2024-08-24
107051,2024-08-25
107051,2024-08-29
107051,2024-09-01
107051,2024-09-03
107051,2024-09-11
107051,2024-09-13
107051,2024-09-21
107051,2024-09-24
107051,2024-09-27
107051,2024-09-29
107051,2024-10-02
107051,2024-10-05
107051,2024-10-07
107051,2024-10-12
107051,2024-10-20
107051,2024-10-27
107051,2024-11-13
107051,2024-11-17
107051,2024-11-24
107051,2024-11-29
107051,2024-12-01
107051,2024-12-04
107051,2024-12-08
107051,2024-12-20
107051,2025-01-03
107051,2025-01-06
107051,2025-01-10
107051,2025-01-15
107051,2025-01-26
107051,2025-02-02
107051,2025-02-07
107051,2025-02-09
107051,2025-03-03
107051,2025-03-06
107051,2025-03-14
107051,2025-03-17
107051,2025-03-28
107051,2025-04-04
107051,2025-04-06
107051,2025-04-12
107051,2025-04-15
107051,2025-04-18
107051,2025-04-22
107051,2025-04-25
107051,2025-04-28
107051,2025-05-09
107051,2025-05-11
107051,2025-05-13
107051,2025-05-18
107051,2025-05-21
107051,2025-05-30
107051,2025-06-03
107051,2025-06-07
107051,2025-06-12
107051,2025-06-15
107051,2025-06-19
107051,2025-06-24
107051,2025-06-26
107051,2025-07-01
107051,2025-07-04
107051,2025-07-07
107051,2025-07-12
107051,2025-07-17
107051,2025-07-20
107051,2025-07-23
107051,2025-07-26
107051,2025-07-31
107051,2025-08-08
107051,2025-08-15
107051,2025-08-22
107051,2025-08-29
107051,2025-09-01
107051,2025-09-03
116268,2013-07-06
116268,2013-11-10
116268,2014-12-18
116268,2015-01-10
116268,2015-03-29
116268,2015-04-27
116268,2015-04-30
116268,2015-06-12
116268,2015-08-23
116268,2015-10-05
116268,2015-10-19
116268,2015-12-02
116268,2015-12-09
116268,2016-09-06
116268,2017-09-30
116268,2017-10-14
116268,2019-02-23
116268,2019-03-31
116268,2019-04-28
116268,2019-05-03
116268,2020-01-04
116268,2020-02-16
116268,2020-12-23
116268,2021-05-20
116268,2021-06-24
116268,2021-08-01
116268,2021-08-15
116268,2021-08-28
116268,2022-04-01
116268,2022-05-31
116268,2022-06-15
116268,2022-09-08
116268,2022-09-17
116268,2022-10-08
116268,2022-11-19
116268,2023-01-07
116268,2023-05-09
116268,2024-01-01
116268,2025-05-31
117203,2012-01-04
117203,2012-12-12
117203,2013-05-10
117203,2013-07-12
117203,2013-09-08
117203,2013-12-10
117203,2014-05-11
117203,2014-07-28
117203,2014-09-07
117203,2014-10-14
117203,2015-02-23
117203,2015-04-27
117203,2015-05-09
117203,2015-06-10
117203,2015-07-03
117203,2015-07-18
117203,2015-09-22
117203,2015-09-30
117203,2015-10-13
117203,2016-01-13
117203,2016-04-04
117203,2016-05-09
117203,2016-06-03
117203,2016-07-02
117203,2016-07-11
117203,2016-07-22
117203,2016-08-25
117203,2016-09-17
117203,2016-11-08
117203,2016-12-08
117203,2017-02-04
117203,2017-04-08
117203,2017-09-08
117203,2017-11-22
117203,2018-01-05
117203,2018-03-25
117203,2018-04-01
117203,2018-05-19
117203,2018-06-10
117203,2018-07-09
117203,2018-08-03
117203,2018-09-08
117203,2018-09-28
117203,2018-10-07
117203,2018-11-07
117203,2018-12-26
117203,2019-01-04
117203,2019-02-12
117203,2019-05-03
117203,2019-06-21
117203,2019-07-13
117203,2019-07-25
117203,2019-08-10
117203,2019-08-16
117203,2019-12-27
117203,2020-01-20
117203,2020-09-30
117203,2021-08-13
117203,2021-08-26
117203,2021-09-07
117203,2021-09-18
117203,2021-10-04
117203,2021-11-24
117203,2021-12-25
117203,2022-01-16
117203,2022-04-09
117203,2022-04-17
117203,2022-04-24
117203,2022-05-06
117203,2022-06-08
117203,2022-09-24
117203,2022-11-08
117203,2023-04-05
117203,2023-05-16
117203,2023-05-29
117203,2023-06-18
117203,2023-06-25
117203,2023-07-12
117203,2023-08-11
117203,2023-08-27
117203,2023-09-02
117203,2023-09-09
117203,2023-09-18
117203,2023-10-26
117203,2023-11-04
117203,2023-11-19
117203,2023-12-27
117203,2024-03-28
117203,2024-05-17
117203,2024-05-30
117203,2024-06-09
117203,2024-09-17
117203,2024-11-15
117203,2024-12-23
117203,2025-01-01
117203,2025-05-03
117203,2025-05-22
117203,2025-06-02
117203,2025-06-29
117203,2025-08-03
117203,2025-08-14
117203,2025-09-01
117203,2025-09-08
127652,2011-07-03
127652,2011-09-28
127652,2011-10-10
127652,2011-10-22
127652,2011-11-01
127652,2012-03-01
127652,2012-04-05
127652,2012-04-26
127652,2012-05-02
351727,2023-10-19
351727,2023-10-22
351727,2023-10-26
351727,2023-10-29
351727,2023-11-13
351727,2023-11-17
351727,2023-11-25
351727,2023-11-28
351727,2023-12-03
351727,2023-12-11
351727,2023-12-14
351727,2024-04-16
351727,2024-05-19
351727,2024-05-27
351727,2024-06-05
351727,2024-06-10
351727,2024-06-13
351727,2024-06-20
351727,2024-06-28
351727,2024-07-18
351727,2024-07-21
351727,2024-07-30
351727,2024-10-07
351727,2025-03-27
351727,2025-05-26
351727,2025-06-02
356073,2012-04-19
356073,2012-09-25
356073,2012-10-01
356073,2012-10-29
356073,2012-11-17
356073,2013-01-02
356073,2013-03-26
356073,2013-04-09
356073,2013-04-30
356073,2013-05-16
356073,2013-05-27
356073,2013-06-11
356073,2013-06-26
356073,2013-06-27
356073,2013-07-08
356073,2013-07-22
356073,2013-08-05
356073,2013-08-09
356073,2013-09-11
356073,2013-10-21
356073,2013-10-27
356073,2013-11-03
356073,2013-11-27
356073,2014-01-05
356073,2014-01-26
356073,2014-02-10
356073,2014-03-08
356073,2014-03-16
356073,2014-03-25
356073,2014-04-14
356073,2014-04-22
356073,2014-07-20
356073,2014-08-25
356073,2014-09-05
356073,2015-01-24
356073,2015-02-16
356073,2015-05-26
356073,2015-06-28
356073,2015-07-09
356073,2015-07-17
356073,2015-08-01
356073,2015-09-19
356073,2015-09-27
356073,2015-10-18
356073,2016-04-01
356073,2016-04-23
356073,2016-05-09
356073,2016-05-20
356073,2016-06-03
356073,2016-07-21
356073,2016-08-12
356073,2016-12-15
356073,2017-01-03
356073,2017-01-27
356073,2017-05-02
356073,2017-05-28
356073,2017-07-10
356073,2017-08-01
356073,2017-08-09
356073,2017-10-16
356073,2017-10-30
356073,2017-11-04
356073,2018-01-27
356073,2018-03-04
356073,2018-07-25
356073,2018-08-14
356073,2018-10-05
356073,2018-10-28
356073,2018-11-07
356073,2018-11-30
356073,2019-01-02
356073,2019-01-27
356073,2019-02-17
356073,2019-03-22
356073,2019-04-09
356073,2019-04-22
356073,2019-04-28
356073,2019-07-28
356073,2019-09-30
356073,2019-11-07
356073,2019-12-19
356073,2020-01-02
356073,2020-02-08
356073,2021-11-20
356073,2022-01-28
356073,2022-02-28
356073,2022-04-15
356073,2022-05-06
356073,2022-05-16
356073,2022-07-02
356073,2022-07-27
356073,2022-08-10
356073,2022-08-17
356073,2022-10-31
356073,2022-11-29
356073,2022-12-07
356073,2023-05-14
356073,2023-06-30
356073,2023-07-09
356073,2023-07-18
356073,2023-10-01
356073,2023-11-02
356073,2023-11-21
356073,2023-12-12
356073,2024-01-29
356073,2024-02-06
356073,2024-08-31
356073,2025-02-23
356073,2025-07-18
356073,2025-08-05
356073,2025-08-27
356978,2014-04-24
356978,2014-04-28
356978,2014-05-05
356978,2014-05-22
356978,2014-05-30
356978,2014-09-30
356978,2014-10-02
358043,2014-07-15
358043,2014-07-22
358043,2014-08-22
358043,2014-09-04
358043,2014-10-01
358043,2014-12-07
358043,2014-12-27
358043,2015-01-02
358043,2015-05-25
358043,2015-06-07
358043,2015-10-03
358043,2016-07-06
358043,2016-07-16
358043,2016-07-30
358043,2016-12-27
358043,2017-06-05
358043,2017-07-06
358043,2017-12-16
358043,2018-07-15
358043,2018-07-20
358043,2018-09-21
358043,2018-10-05
358043,2018-10-29
358043,2019-01-25
358043,2019-02-06
358043,2019-02-15
358043,2019-04-26
358043,2019-05-05
358043,2019-05-13
358043,2019-05-22
358043,2019-06-13
358043,2019-10-07
358043,2020-01-13
359974,2012-08-27
359974,2013-05-21
359974,2013-05-28
359974,2013-06-12
359974,2013-06-19
359974,2013-07-20
359974,2013-09-30
359974,2013-10-26
359974,2014-01-02
359974,2014-10-07
359974,2014-10-29
359974,2014-11-04
359974,2015-01-09
359974,2015-02-02
359974,2015-02-09
359974,2015-02-24
359974,2015-03-30
359974,2015-04-06
359974,2015-04-14
359974,2015-07-09
359974,2015-07-27
359974,2016-01-05
359974,2016-02-02
359974,2016-03-01
359974,2016-03-08
359974,2016-08-30
359974,2016-09-25
359974,2016-10-12
359974,2016-11-01
359974,2016-11-13
359974,2017-02-19
359974,2017-02-26
359974,2017-07-02
359974,2017-07-27
359974,2017-08-06
359974,2017-08-15
359974,2017-08-24
359974,2017-10-23
359974,2017-10-30
359974,2017-11-13
359974,2017-11-27
359974,2017-12-23
359974,2017-12-31
359974,2018-01-06
359974,2018-01-29
359974,2018-03-18
359974,2018-04-25
359974,2018-05-07
359974,2018-05-16
359974,2018-07-23
359974,2018-08-09
359974,2018-09-17
359974,2018-09-24
359974,2018-11-11
359974,2018-12-17
359974,2019-01-02
359974,2019-03-16
359974,2019-03-31
359974,2019-06-18
359974,2019-07-08
359974,2019-07-29
359974,2019-09-12
359974,2019-10-15
359974,2019-10-27
359974,2019-11-13
359974,2019-12-28
359974,2020-02-18
359974,2020-03-10
359974,2021-05-02
359974,2021-06-24
359974,2021-07-01
359974,2021-07-19
359974,2021-07-31
359974,2021-08-16
359974,2021-08-30
359974,2021-10-10
359974,2021-10-18
359974,2021-11-01
359974,2021-11-27
359974,2021-12-26
359974,2022-01-02
359974,2022-02-28
359974,2022-04-19
359974,2022-04-30
359974,2022-05-18
359974,2022-05-26
359974,2022-06-07
359974,2022-06-14
359974,2022-06-20
311768,2021-06-19
311768,2021-06-27
311768,2021-07-18
311768,2021-08-08
311768,2021-08-22
311768,2021-08-30
311768,2021-09-05
311768,2021-09-20
311768,2021-10-24
311768,2021-11-01
311768,2021-11-07
311768,2021-11-28
311768,2022-02-06
311768,2022-02-27
311768,2022-03-13
311768,2022-04-03
311768,2022-04-10
311768,2022-04-24
311768,2022-05-08
311768,2022-06-17
311768,2022-07-03
311768,2022-07-10
311768,2022-07-31
311768,2022-08-21
311768,2022-10-02
311768,2022-10-10
311768,2022-10-30
311768,2022-11-14
311768,2022-11-27
311768,2022-12-20
311768,2023-02-12
311768,2023-04-02
311768,2023-04-10
311768,2023-04-16
311768,2023-04-23
311768,2023-05-21
311768,2023-05-29
311768,2023-06-04
311768,2023-06-12
311768,2023-07-03
311768,2023-07-16
311768,2023-08-13
311768,2023-10-23
311768,2023-11-12
311768,2023-11-25
311768,2023-12-03
311768,2023-12-10
311768,2024-02-18
311768,2024-04-28
311768,2024-05-05
311768,2024-05-26
311768,2024-06-03
311768,2024-06-24
311768,2024-07-01
311768,2024-07-14
311768,2024-08-19
311768,2024-10-26
311768,2024-12-01
311768,2024-12-08
311768,2025-02-23
311768,2025-03-02
